# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = rats_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = rats_3.data.R
# init = 2 (Default)
# random
#   seed = 1160071740
# output
#   file = rats_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28,beta.29,beta.30,mu_alpha,mu_beta,sigmasq_y,sigmasq_alpha,sigmasq_beta,sigma_y,sigma_alpha,sigma_beta,alpha0
# Adaptation terminated
# Step size = 0.415723
# Diagonal elements of inverse mass matrix:
# 8.41291, 7.87487, 7.1644, 8.1693, 8.17118, 7.56927, 6.98026, 7.18086, 7.14093, 7.32889, 6.52481, 6.0864, 7.64056, 8.5187, 7.48217, 7.48894, 6.97083, 7.23086, 6.293, 7.10307, 6.7893, 6.64696, 8.10034, 7.68483, 6.51405, 7.41774, 7.77446, 6.47689, 5.88278, 6.04148, 0.063629, 0.0682835, 0.055196, 0.0708617, 0.0692448, 0.0535068, 0.0662586, 0.0545996, 0.0589784, 0.0699132, 0.0603775, 0.0579182, 0.0529217, 0.0612603, 0.0653062, 0.0641175, 0.0498537, 0.0498997, 0.0602241, 0.0658435, 0.0516032, 0.0565852, 0.0645334, 0.0516356, 0.0655777, 0.0561772, 0.0699559, 0.0554253, 0.0665666, 0.0569121, 7.51341, 0.0117369, 0.0221984, 0.0784702, 0.132843

-431.795,0.890483,0.415723,3,7,0,238.85,250.728,250.699,231.498,232.726,244.562,230.258,249.618,285.533,217.42,260.628,225.434,240.441,268.496,243.591,242.724,229.502,238.969,257.304,239.458,247.557,220.217,226.276,240.542,234.12,252.033,258.305,244.085,220.473,244.631,5.82806,6.7564,6.23363,5.57728,6.61289,6.4963,6.05288,6.23128,6.95912,5.90211,6.63376,6.28455,6.50306,6.75338,5.1378,5.89062,6.56002,5.75075,6.44982,6.35505,6.50436,5.93771,5.91712,5.44784,6.81309,6.63823,6.33914,5.76607,5.76512,6.41671,241.097,6.26032,38.2309,184.265,0.194564,6.18312,13.5744,0.441094,103.37
-432.056,0.694564,0.415723,3,7,0,239.701,249.064,251.72,232.36,232.436,245.425,230.015,251.285,284.902,215.252,259.859,226.787,241.338,268.813,245.356,244.29,230.402,239.284,257.788,238.596,249.056,221.922,226.745,239.861,233.131,251.99,258.609,242.513,219.616,243.32,5.68857,6.68097,6.35729,5.35107,6.46753,6.33691,5.97818,6.13076,6.9343,5.78812,6.56745,6.12221,6.57576,6.8658,5.27814,5.9521,6.64894,5.85031,6.39026,6.26667,6.52124,6.09311,5.91814,5.40078,6.82999,6.74494,6.34927,5.62899,5.65391,6.29235,239.636,6.20208,32.5844,165.579,0.240256,5.70828,12.8678,0.490159,103.19
-436.417,0.905341,0.415723,3,7,0,239.97,246.519,252.991,232.456,230.438,254.6,227.251,245.596,283.759,222.664,257.018,230.74,243.793,268.047,239.777,246.694,233.863,241.9,251.025,244.898,247.95,227.425,229.965,250.611,235.485,255.561,249.844,244.689,216.834,238.271,6.48638,7.63703,6.73158,5.24169,6.73562,5.86061,5.94494,6.75176,7.28469,5.89615,7.17182,6.22177,5.88805,6.74898,5.4642,5.90537,5.94892,5.78167,6.62251,5.80314,6.35484,5.71214,5.53508,6.52672,7.17701,6.5077,5.40958,5.86889,5.67752,6.05575,245.21,6.29828,35.9594,274.391,0.391193,5.99662,16.5647,0.625454,106.648
-437.928,0.757325,0.415723,3,7,0,238.346,247.431,250.866,231.325,233.484,248.405,229.363,250.609,284.352,217.666,257.67,226.272,239.98,269.873,244.528,245.948,228.242,237.572,257.378,240.828,248.576,224.758,223.705,240.323,232.457,251.528,257.974,240.675,214.887,246.186,5.81781,6.71121,6.64863,5.35528,6.3507,6.59159,6.10187,6.21732,7.27867,5.93297,6.83514,5.7534,6.38151,7.04606,4.77607,5.91485,6.93837,5.74439,6.31505,6.31575,6.47703,6.06925,5.92586,5.35662,7.01748,6.76435,6.12608,5.85419,5.57227,6.2731,242.831,6.21362,34.4152,213.448,0.308387,5.86645,14.6099,0.555326,106.131
-433.248,0.931887,0.415723,3,7,0,241.817,250.058,252.497,230.262,235.03,247.989,224.666,250.59,280.865,222.837,260.22,227.718,242.243,265.89,244.413,245.091,228.362,237.137,251.739,241.146,249.875,227.061,228.623,245.243,233.501,252.012,253.999,245.493,217.243,245.808,5.68247,7.22236,6.34668,5.2365,6.74462,6.31192,5.50998,5.88104,7.26091,5.72679,6.99496,6.30957,6.51741,6.77471,4.73443,5.84237,6.13922,5.65158,6.24219,6.40814,6.35476,5.8792,5.68748,5.77927,6.81136,6.73473,5.84915,5.94304,5.32429,6.14278,243.022,6.31949,32.9267,169.302,0.284745,5.73817,13.0116,0.533615,103.993
